order_id,customer_email,product_name,category,order_date,delivery_date,price,status,is_opened
ORD-2024-001,john@email.com,Laptop Pro 15,Electronics,2024-01-15,2024-01-18,1299.99,delivered,yes
ORD-2024-002,sarah@email.com,Wireless Mouse,Electronics,2024-01-20,2024-01-23,29.99,delivered,no
ORD-2024-003,mike@email.com,Office Chair,Home & Garden,2024-01-10,2024-01-14,249.99,delivered,yes
ORD-2024-004,emma@email.com,Running Shoes,Clothing,2024-01-25,2024-01-28,89.99,delivered,no
ORD-2024-005,david@email.com,Smart Watch,Electronics,2024-01-12,2024-01-16,399.99,delivered,yes
ORD-2024-006,lisa@email.com,Desk Lamp,Home & Garden,2024-01-18,2024-01-21,45.99,delivered,no
ORD-2024-007,tom@email.com,Headphones Pro,Electronics,2024-01-05,2024-01-09,199.99,delivered,yes
ORD-2024-008,anna@email.com,Yoga Mat,Home & Garden,2024-01-22,2024-01-25,34.99,delivered,no
ORD-2024-009,james@email.com,Tablet 10 inch,Electronics,2024-01-08,2024-01-12,449.99,delivered,no
ORD-2024-010,mary@email.com,Coffee Maker,Home & Garden,2024-01-28,2024-01-31,79.99,delivered,yes
